Year Released,Album Length,Artist,Album Name
2019,1624134,Kanye West,JESUS IS KING
2018,1432307,KIDS SEE GHOSTS,KIDS SEE GHOSTS
2018,1423757,Kanye West,ye
2016,3593816,Kanye West,The Life Of Pablo
2013,2404623,Kanye West,Yeezus
2012,3273970,Kanye West,Kanye West Presents Good Music Cruel Summer
2011,2777689,JAY-Z,Watch The Throne
2010,4121701,Kanye West,My Beautiful Dark Twisted Fantasy
2008,3125170,Kanye West,808s & Heartbreak
2007,3084355,Kanye West,Graduation
2006,2843289,Kanye West,Late Orchestration
2005,4434220,Kanye West,Late Registration
2004,4583407,Kanye West,The College Dropout
